desc,valor,metraje,url
3 Dormitorios en Aires Puros,$U 190.000,110,https://www.gallito.com.uy/excelente-garaje-2-autos-jaridn-fondo-piscina-parrillero-inmuebles-22201433
3 Dormitorios en Prado,U$S 15.500,100,https://www.gallito.com.uy/gran-oportunidad-inmuebles-21289775
3 Dormitorios en Villa Española,U$S 38.000,150,https://www.gallito.com.uy/casa-3-dormitorios-con-patio-usd-38000-mas-saldo-anv-inmuebles-21842818
2 Dormitorios en La Teja,U$S 39.900,60,https://www.gallito.com.uy/economica-con-terreno-cochera-y-galpon-inmuebles-20427489
2 Dormitorios en Colon,U$S 45.000,50,https://www.gallito.com.uy/oficina-sosa-proximo-a-av-lezica-casa-en-ph-al-fondo-sobr-inmuebles-20974900
2 Dormitorios en La Teja,U$S 48.000,50,https://www.gallito.com.uy/casa-a-1-cuadra-de-la-avenida-inmuebles-20260958
1 Dormitorio en Villa Española,U$S 48.000,39,https://www.gallito.com.uy/oficina-sosa-apto-1-dorm-en-mercado-modelo-alquilado-inmuebles-17795367
4 Dormitorios en Cerrito,U$S 49.000,97,https://www.gallito.com.uy/oportunidad-casa-de-4-dormitorios-a-reparar-en-cerrito-inmuebles-17825081
2 Dormitorios en J. Hipodromo,U$S 50.000,70,https://www.gallito.com.uy/casa-en-venta-jardines-del-hipodromo-lars-inmuebles-21036475
2 Dormitorios en Union,U$S 50.000,50,https://www.gallito.com.uy/gran-oportunidad-vende-casita-al-frente-inmuebles-21115138
1 Dormitorio en Perez Castellanos,U$S 53.000,33,https://www.gallito.com.uy/perez-castellanos-tobas-proximo-al-antel-arena-inmuebles-22011059
1 Dormitorio en Cerrito,U$S 53.000,33,https://www.gallito.com.uy/baldovino-cerrito-tobas-proximo-antel-arena-inmuebles-22011006
3 Dormitorios en Cerro,U$S 55.000,,https://www.gallito.com.uy/casa-3-dormitorios-y-patio-inmuebles-21922158
2 Dormitorios en Prado,U$S 55.000,57,https://www.gallito.com.uy/oficina-sosa-apto-en-molinos-de-raffo-y-ma-orticochea-inmuebles-19827404
1 Dormitorio en Aires Puros,U$S 56.500,40,https://www.gallito.com.uy/oficina-sosa-corneille-y-zubiria-ideal-renta-o-vivienda-inmuebles-22185440
2 Dormitorios en Cerro,U$S 57.000,50,https://www.gallito.com.uy/coqueta-casa-en-el-cerro-inmuebles-17520740
3 Dormitorios en Paso De La Arena,U$S 58.000,85,https://www.gallito.com.uy/casa-con-terreno-a-1-cuadra-de-tomkinson-inmuebles-20278186
2 Dormitorios en Maroñas,U$S 58.000,51,https://www.gallito.com.uy/venta-ph-2-dormitorios-jardin-cochera-parrillero-inmuebles-20765648
2 Dormitorios en La Teja,U$S 58.000,110,https://www.gallito.com.uy/cesion-de-derechos-inscripta-inmuebles-20380776
2 Dormitorios en Cerro,U$S 60.000,70,https://www.gallito.com.uy/patagonia-se-vende-casa-alquilada-por-anda-inmuebles-22257766
2 Dormitorios en Cerrito,U$S 60.000,51,https://www.gallito.com.uy/baldovino-cerrito-de-la-victoria-tobas-proxantel-arena-inmuebles-22140247
2 Dormitorios en La Teja,U$S 62.000,70,https://www.gallito.com.uy/casa-a-reciclar-en-excelente-punto-a-1-de-la-avenida-inmuebles-20812967
2 Dormitorios en Piedras Blancas,U$S 62.000,50,https://www.gallito.com.uy/venta-casa-2-dormitorios-galpon-piedras-blancas-inmuebles-21902606
3 Dormitorios en Maroñas,U$S 63.000,67,https://www.gallito.com.uy/venta-casa-3-dorm1-baño-y-patio-63000usdcuotas-inmuebles-20146847
3 Dormitorios en Paso De La Arena,U$S 65.000,133,https://www.gallito.com.uy/casa-con-cochera-y-fondo-inmuebles-18086957
2 Dormitorios en La Teja,U$S 65.000,40,https://www.gallito.com.uy/casita-economica-en-la-teja-excelente-ubicacion-inmuebles-20681210
3 Dormitorios en Lezica,U$S 65.000,63,https://www.gallito.com.uy/dueños-venden-duplex-en-complejo-12-de-octubre-inmuebles-21904516
2 Dormitorios en Nuevo Paris,U$S 65.000,80,https://www.gallito.com.uy/excelente-casa-sobre-calle-julian-laguna-inmuebles-21709063
2 Dormitorios en La Teja,U$S 65.000,158,https://www.gallito.com.uy/rebajado-oportunidad-4-casas-en-un-padron-inmuebles-21863494
1 Dormitorio en La Teja,U$S 65.000,94,https://www.gallito.com.uy/casa-y-2-apartamentos-inmuebles-20858940
2 Dormitorios en La Teja,U$S 65.000,158,https://www.gallito.com.uy/rebajado-oportunidad-4-casas-en-un-padron-inmuebles-21964179
1 Dormitorio en Sayago,U$S 66.000,35,https://www.gallito.com.uy/casablanca-ph-al-fondo-independiente-inmuebles-21211561
3 Dormitorios en Las Acacias,U$S 67.000,70,https://www.gallito.com.uy/bajo-de-precio-padron-unico-inmuebles-17516457
